date,n_incidents,length_in_meters,delay_in_seconds,latitude,longitude
2019-01-16 21,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-16 22,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-16 23,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-17 00,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-17 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-17 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-17 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-17 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-17 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-17 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-17 07,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-17 08,25.0,464.08,142.28,41.54875930786133,-8.42646053314209
2019-01-17 09,25.0,458.0,195.16,41.54807189941406,-8.421628723144531
2019-01-17 10,5.0,269.0,75.8,41.542630767822274,-8.408524703979491
2019-01-17 11,4.0,381.75,50.5,41.53990268707276,-8.405439853668213
2019-01-17 12,4.0,141.75,50.75,41.541916847229004,-8.40306305885315
2019-01-17 13,8.0,509.125,129.625,41.53957557678223,-8.405572056770325
2019-01-17 14,6.0,478.8333333333333,119.16666666666667,41.542113622029625,-8.4081392288208
2019-01-17 15,9.0,404.1111111111111,106.11111111111111,41.539644453260635,-8.413300726148817
2019-01-17 16,6.0,425.3333333333333,100.33333333333333,41.54140535990397,-8.408029397328695
2019-01-17 17,20.0,423.0,169.35,41.54353923797608,-8.419402313232421
2019-01-17 18,71.0,502.0845070422535,208.49295774647888,41.543190109897665,-8.427865579094686
2019-01-17 19,31.0,422.2903225806452,178.03225806451613,41.547241949266,-8.424348215903006
2019-01-17 20,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-17 21,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-17 22,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-17 23,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-18 00,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-18 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-18 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-18 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-18 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-18 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-18 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-18 07,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-18 08,12.0,295.9166666666667,107.41666666666667,41.545406659444176,-8.419433752695719
2019-01-18 09,25.0,494.16,193.36,41.547826232910154,-8.420318374633789
2019-01-18 10,5.0,196.6,65.8,41.54389266967773,-8.406492805480957
2019-01-18 11,8.0,331.375,138.5,41.54649639129639,-8.403176426887512
2019-01-18 12,7.0,330.0,136.85714285714286,41.542019435337615,-8.407220023018974
2019-01-18 13,9.0,329.55555555555554,110.88888888888889,41.537244160970054,-8.417050573560926
2019-01-18 14,12.0,407.0833333333333,116.41666666666667,41.53865019480387,-8.425460894902548
2019-01-18 15,12.0,425.25,159.08333333333334,41.52482509613037,-8.437008539835611
2019-01-18 16,8.0,331.125,126.5,41.53839731216431,-8.42162275314331
2019-01-18 17,20.0,346.3,142.45,41.5401050567627,-8.429455709457397
2019-01-18 18,49.0,512.8775510204082,233.3673469387755,41.542440764758055,-8.432806326418508
2019-01-18 19,28.0,598.8928571428571,195.28571428571428,41.54879869733538,-8.423736470086235
2019-01-18 20,9.0,363.8888888888889,130.55555555555554,41.55365159776477,-8.40806441836887
2019-01-18 21,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-18 22,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-18 23,4.0,143.5,59.25,41.54373836517334,-8.408981323242188
2019-01-19 00,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 01,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 02,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 03,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 04,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 05,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 06,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 07,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 08,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 09,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 10,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 11,9.0,225.33333333333334,186.88888888888889,41.549265967475044,-8.414709515041775
2019-01-19 12,10.0,255.5,164.8,41.5503532409668,-8.418557739257812
2019-01-19 13,7.0,223.0,103.14285714285714,41.54948043823242,-8.417423520769391
2019-01-19 14,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 15,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 16,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 17,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 18,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 19,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
2019-01-19 20,3.0,88.0,0.0,41.54179000854492,-8.403511047363281
